Año;Periodo;Territorio;Indicador;Valor;Unidad;Estado dato
2024;T3;Hortaleza;Tasa de variación sobre igual período del año anterior;10.5;Porcentaje;
2024;T3;Latina;Serie;117.391;Índice;
2024;T3;Latina;Tasa de variación sobre el periodo anterior;4.2;Porcentaje;
2024;T3;Latina;Tasa de variación sobre igual período del año anterior;12.4;Porcentaje;
2024;T3;Moncloa-Aravaca;Serie;113.066;Índice;
2024;T3;Moncloa-Aravaca;Tasa de variación sobre el periodo anterior;0.1;Porcentaje;
2024;T3;Moncloa-Aravaca;Tasa de variación sobre igual período del año anterior;4.0;Porcentaje;
2024;T3;Moratalaz;Serie;116.503;Índice;
2024;T3;Moratalaz;Tasa de variación sobre el periodo anterior;4.1;Porcentaje;
2024;T3;Moratalaz;Tasa de variación sobre igual período del año anterior;11.5;Porcentaje;
2024;T3;Puente de Vallecas;Serie;117.311;Índice;
2024;T3;Puente de Vallecas;Tasa de variación sobre el periodo anterior;1.5;Porcentaje;
2024;T3;Puente de Vallecas;Tasa de variación sobre igual período del año anterior;10.9;Porcentaje;
2024;T3;Retiro;Serie;119.87;Índice;
2024;T3;Retiro;Tasa de variación sobre el periodo anterior;6.7;Porcentaje;
2024;T3;Retiro;Tasa de variación sobre igual período del año anterior;17.1;Porcentaje;
2024;T3;Salamanca;Serie;121.413;Índice;
2024;T3;Salamanca;Tasa de variación sobre el periodo anterior;4.1;Porcentaje;
2024;T3;Salamanca;Tasa de variación sobre igual período del año anterior;10.9;Porcentaje;
2024;T3;San Blas-Canillejas;Serie;111.339;Índice;
2024;T3;San Blas-Canillejas;Tasa de variación sobre el periodo anterior;-0.1;Porcentaje;
2024;T3;San Blas-Canillejas;Tasa de variación sobre igual período del año anterior;5.3;Porcentaje;
2024;T3;Tetuán;Serie;114.081;Índice;
2024;T3;Tetuán;Tasa de variación sobre el periodo anterior;2.8;Porcentaje;
2024;T3;Tetuán;Tasa de variación sobre igual período del año anterior;10.4;Porcentaje;
2024;T3;Usera;Serie;117.099;Índice;
2024;T3;Usera;Tasa de variación sobre el periodo anterior;0.5;Porcentaje;
